f,a,b
1,129789.042,1.16167477
1.02329299,121942.156,1.16082177
1.04712855,114536.881,1.15993404
1.07151931,107546.847,1.15900738
1.0964782,100950.03,1.15804034
1.12201845,94725.3425,1.15703105
1.14815362,88853.04,1.15597797
1.17489755,83314.3373,1.15487937
1.20226443,78090.5416,1.15373214
1.23026877,73166.6642,1.15253716
1.25892541,68525.7633,1.15129118
1.28824955,64152.6935,1.1499923
1.31825674,60032.7265,1.14863775
1.34896288,56153.0885,1.14722708
1.38038426,52500.4589,1.14575742
1.41253754,49062.6323,1.14422664
1.44543977,45828.0275,1.14263256
1.47910839,42785.6781,1.14097298
1.51356125,39924.9501,1.13924494
1.54881662,37236.4784,1.13744758
1.58489319,34710.643,1.13557783
1.6218101,32338.5758,1.13363332
1.65958691,30111.8692,1.13161167
1.69824365,28022.5398,1.12951042
1.73780083,26063.0219,1.12732714
1.77827941,24226.1172,1.12505928
1.81970086,22505.0535,1.12270454
1.86208714,20893.343,1.12026033
1.90546072,19384.8518,1.11772414
1.9498446,17973.7563,1.1150935
1.99526231,16654.532,1.11236592
2.04173794,15421.9334,1.10953893
2.08929613,14270.9815,1.10661009
2.13796209,13196.9503,1.10357695
2.18776162,12195.3546,1.10043714
2.23872114,11261.9335,1.09718826
2.29086765,10392.6546,1.09382811
2.34422882,9583.67863,1.09035439
2.39883292,8831.3661,1.08676488
2.45470892,8132.36806,1.08305908
2.51188643,7483.19225,1.07923156
2.57039578,6880.85938,1.07528225
2.63026799,6322.41849,1.07120906
2.6915348,5805.08285,1.06701016
2.7542287,5326.21176,1.06268382
2.81838293,4883.30519,1.05822833
2.8840315,4473.99894,1.05364212
2.95120923,4095.99829,1.04892177
3.01995172,3747.30998,1.04406956
3.09029543,3425.87832,1.03908234
3.16227766,3129.81929,1.03395874
3.23593657,2857.35553,1.02869732
3.31131121,2606.8175,1.02329692
3.38844156,2376.63218,1.01775632
3.4673685,2165.32072,1.01207428
3.54813389,1971.49425,1.00624952
3.63078055,1793.84992,1.00028072
3.71535229,1631.16704,0.994166506
3.80189396,1482.30301,0.987905387
3.89045145,1346.18974,0.981495732
3.98107171,1221.81897,0.974934618
4.07380278,1108.28423,0.968222383
4.16869383,1004.71797,0.961357527
4.26579519,910.292533,0.95433394
4.36515832,824.271828,0.947150759
4.46683592,745.962208,0.939805018
4.5708819,674.721299,0.932293521
4.67735141,609.955121,0.924612864
4.78630092,551.114979,0.916759475
4.89778819,497.695282,0.908729856
5.01187234,449.230682,0.900520766
5.12861384,405.293631,0.892129565
5.2480746,365.492315,0.883554729
5.37031796,329.468108,0.874796962
5.49540874,296.893975,0.865859813
5.62341325,267.472335,0.856751656
5.75439937,240.933171,0.847487676
5.88843655,217.032244,0.838092686
6.02559586,195.553484,0.828609278
6.16595002,176.28846,0.819082105
6.30957344,159.061891,0.809590401
6.45654229,143.708766,0.800230324
6.60693448,130.07533,0.791118596
6.76082975,118.014621,0.782386315
6.91830971,107.382391,0.774167233
7.07945784,98.034507,0.766581964
7.2443596,89.8270269,0.759722912
7.41310241,82.6176886,0.753641387
7.58577575,76.277117,0.748367718
7.76247117,70.6841278,0.743895733
7.94328235,65.7352482,0.740215141
8.12830516,61.3418395,0.737311721
8.31763771,57.4327138,0.735189814
8.51138038,53.9455887,0.733846125
8.7096359,50.8284686,0.733283493
8.91250938,48.0365986,0.733502383
9.12010839,45.530377,0.73449462
9.33254301,43.275236,0.736247138
9.54992586,41.2390051,0.738728908
9.77237221,39.3925979,0.741896814
10,37.7096925,0.745697899
10.2329299,36.1664082,0.750069087
10.4712855,34.7420994,0.754947658
10.7151931,33.418245,0.760265581
10.964782,32.179206,0.76595935
11.2201845,31.0117102,0.771968853
11.4815362,29.9047347,0.778238905
11.7489755,28.8491084,0.784717602
12.0226443,27.837672,0.791359887
12.3026877,26.8644179,0.798120325
12.5892541,25.9247123,0.804956801
12.8824955,25.0149735,0.811828534
13.1825674,24.1326399,0.818698535
13.4896288,23.2758099,0.825529907
13.8038426,22.4432275,0.832288749
14.1253754,21.6341052,0.838943849
14.4543977,20.847977,0.845465931
14.7910839,20.0846413,0.85182983
15.1356125,19.3439143,0.858012003
15.4881662,18.6255865,0.8639935
15.8489319,17.9299349,0.86975886
16.218101,17.2566623,0.87529647
16.5958691,16.6055541,0.880597537
16.9824365,15.9763419,0.885658368
17.3780083,15.3686641,0.890478864
17.7827941,14.7820835,0.895062856
18.1970086,14.216097,0.899417976
18.6208714,13.6701473,0.903555527
19.0546072,13.143616,0.907489266
19.498446,12.6359249,0.911238985
19.9526231,12.1464313,0.914824946
20.4173794,11.6744909,0.918270523
20.8929613,11.2194724,0.921601524
21.3796209,10.7807555,0.924845588
21.8776162,10.3577343,0.928031784
22.3872114,9.9498203,0.931190102
22.9086765,9.55643199,0.934349765
23.4422882,9.17703893,0.937543527
23.9883292,8.8110958,0.940799927
24.5470892,8.45808781,0.944147636
25.1188643,8.11751882,0.947613739
25.7039578,7.78891437,0.951223567
26.3026799,7.47181961,0.95499994
26.915348,7.16580324,0.958963211
27.542287,6.87051639,0.963131896
28.1838293,6.58546012,0.967518727
28.840315,6.3103702,0.972138397
29.5120923,6.04487777,0.976995173
30.1995172,5.78872887,0.982097696
30.9029543,5.54165512,0.987447032
31.6227766,5.30344217,0.993044395
32.3593657,5.07389643,0.998887907
33.1131121,4.85284905,1.00497315
33.8844156,4.64015351,1.0112941
34.673685,4.43568843,1.01784547
35.4813389,4.23932183,1.02461618
36.3078055,4.0509365,1.03159789
37.1535229,3.87041744,1.03878239
38.0189396,3.69764294,1.04616225
38.9045145,3.53246515,1.05372992
39.8107171,3.37472958,1.06147839
40.7380278,3.22425848,1.06940665
41.6869383,3.08085695,1.07750825
42.6579519,2.94430897,1.08578335
43.6515832,2.81437021,1.09423124
44.6683592,2.69079729,1.10284844
45.708819,2.57332553,1.11164015
46.7735141,2.46168626,1.12060556
47.8630092,2.35560703,1.12974455
48.9778819,2.25481562,1.13905692
50.1187234,2.1590517,1.14853665
51.2861384,2.0680477,1.15817859
52.480746,1.98156008,1.16797381
53.7031796,1.89935396,1.1779095
